permutation,update,agent,test number,0
1,2,A3,84,0.9057169783627615
1,2,A3,85,0.9057169783627615
1,2,A3,86,0.9057169783627615
1,2,A3,87,0.9057169783627615
1,2,A3,88,0.9057169783627615
1,2,A3,89,0.9057169783627615
1,2,A3,90,0.9057169783627615
1,2,A3,91,0.9057169783627615
1,2,A3,92,0.9057169783627615
1,2,A3,93,0.9057169783627615
1,2,A3,94,0.9057169783627615
1,2,A3,95,0.9057169783627615
1,2,A3,96,0.9057169783627615
1,2,A3,97,0.9057169783627615
1,2,A3,98,0.9057169783627615
1,2,A3,99,0.9057169783627615
1,2,A3,100,0.9057169783627615
1,5,A1,1,0.9309024604461356
1,5,A1,2,0.9309024604461356
1,5,A1,3,0.9309024604461356
1,5,A1,4,0.9309024604461356
1,5,A1,5,0.9309024604461356
1,5,A1,6,0.9309024604461356
1,5,A1,7,0.9309024604461356
1,5,A1,8,0.9309024604461356
1,5,A1,9,0.9309024604461356
1,5,A1,10,0.9309024604461356
1,5,A1,11,0.9309024604461356
1,5,A1,12,0.9309024604461356
1,5,A1,13,0.9309024604461356
1,5,A1,14,0.9309024604461356
1,5,A1,15,0.9309024604461356
1,5,A1,16,0.9309024604461356
1,5,A1,17,0.9309024604461356
1,5,A1,18,0.9309024604461356
1,5,A1,19,0.9309024604461356
1,5,A1,20,0.9309024604461356
1,5,A1,21,0.9309024604461356
1,5,A1,22,0.9309024604461356
1,5,A1,23,0.9309024604461356
1,5,A1,24,0.9309024604461356
1,5,A1,25,0.9309024604461356
1,5,A1,26,0.9309024604461356
1,5,A1,27,0.9309024604461356
1,5,A1,28,0.9309024604461356
1,5,A1,29,0.9309024604461356
1,5,A1,30,0.9309024604461356
1,5,A1,31,0.9309024604461356
1,5,A1,32,0.9309024604461356
1,5,A1,33,0.9309024604461356
1,5,A1,34,0.9309024604461356
1,5,A1,35,0.9309024604461356
1,5,A1,36,0.9309024604461356
1,5,A1,37,0.9309024604461356
1,5,A1,38,0.9309024604461356
1,5,A1,39,0.9309024604461356
1,5,A1,40,0.9309024604461356
1,5,A1,41,0.9309024604461356
1,5,A1,42,0.9309024604461356
1,5,A1,43,0.9309024604461356
1,5,A1,44,0.9309024604461356
1,5,A1,45,0.9309024604461356
1,5,A1,46,0.9309024604461356
1,5,A1,47,0.9309024604461356
1,5,A1,48,0.9309024604461356
1,5,A1,49,0.9309024604461356
1,5,A1,50,0.9309024604461356
1,5,A1,51,0.9309024604461356
1,5,A1,52,0.9309024604461356
1,5,A1,53,0.9309024604461356
